service_u,governorate,reviews,pct_negative,pct_positive,avg_sentiment,avg_rating,avg_text_len,anomaly,anomaly_score
مكتب السجل المدني,أسوان,46,56.52173913043478,26.08695652173913,-0.30434782608695654,4.12,61.15217391304348,1,0.10437942895871022
مكتب السجل المدني,أسيوط,86,22.093023255813954,56.97674418604651,0.3488372093023256,4.435897435897436,62.24418604651163,-1,-0.03278723314534415
مكتب السجل المدني,الإسكندرية,498,50.80321285140562,26.907630522088354,-0.2389558232931727,4.094076655052265,125.47389558232932,1,0.04719740388386329
مكتب السجل المدني,الإسماعيلية,91,38.46153846153847,36.26373626373626,-0.02197802197802198,4.080645161290323,54.879120879120876,1,0.1382071619591188
مكتب السجل المدني,البحيرة,119,52.10084033613446,25.210084033613445,-0.2689075630252101,4.2153846153846155,67.24369747899159,1,0.0941623971187352
مكتب السجل المدني,الجيزة,344,61.04651162790697,20.930232558139537,-0.4011627906976744,3.7580645161290325,123.11046511627907,-1,-0.004581974601142957
مكتب السجل المدني,الدقهلية,220,42.27272727272727,35.45454545454545,-0.06818181818181818,4.006369426751593,68.48636363636363,1,0.14401615450579702
مكتب السجل المدني,الشرقية,253,47.82608695652174,28.85375494071146,-0.18972332015810275,4.0875,71.3794466403162,1,0.13401271846182317
مكتب السجل المدني,الغربية,216,29.166666666666668,55.092592592592595,0.25925925925925924,4.367231638418079,60.55555555555556,1,0.022731094031635868
مكتب السجل المدني,الفيوم,66,57.57575757575758,27.27272727272727,-0.30303030303030304,4.0227272727272725,49.09090909090909,1,0.10818123924681505
مكتب السجل المدني,القاهرة,410,37.80487804878049,42.926829268292686,0.05121951219512195,4.398523985239852,88.96829268292683,1,0.08014078204643904
مكتب السجل المدني,القليوبية,271,47.97047970479705,32.10332103321033,-0.15867158671586715,4.180124223602484,80.4280442804428,1,0.11126242112209656
مكتب السجل المدني,المنوفية,101,41.584158415841586,41.584158415841586,0.0,4.068493150684931,87.73267326732673,1,0.1357771246249086
مكتب السجل المدني,المنيا,119,50.42016806722689,31.932773109243694,-0.18487394957983194,4.0120481927710845,42.65546218487395,1,0.10012403803310999
مكتب السجل المدني,بني سويف,91,40.65934065934066,38.46153846153847,-0.02197802197802198,4.119402985074627,43.53846153846154,1,0.13633461619789594
مكتب السجل المدني,بورسعيد,65,50.76923076923077,29.230769230769234,-0.2153846153846154,3.9473684210526314,53.44615384615385,1,0.12373144724475205
مكتب السجل المدني,سوهاج,107,60.747663551401864,20.5607476635514,-0.40186915887850466,4.173076923076923,69.8411214953271,1,0.03527059870957172
مكتب السجل المدني,قنا,79,62.0253164556962,22.78481012658228,-0.3924050632911392,3.7916666666666665,74.25316455696202,1,0.06692784292420689
مكتب الشهر العقاري,أسوان,55,56.36363636363636,27.27272727272727,-0.2909090909090909,3.5348837209302326,44.763636363636365,-1,-0.0036092792029162046
مكتب الشهر العقاري,أسيوط,64,32.8125,40.625,0.078125,4.083333333333333,49.28125,1,0.11154883604897153
مكتب الشهر العقاري,الإسكندرية,290,34.82758620689655,36.896551724137936,0.020689655172413793,4.111607142857143,92.32758620689656,1,0.12343674201282512
مكتب الشهر العقاري,الإسماعيلية,27,40.74074074074074,37.03703703703704,-0.037037037037037035,3.9,65.07407407407408,1,0.12606547797374001
مكتب الشهر العقاري,البحيرة,48,31.25,39.58333333333333,0.08333333333333333,4.2631578947368425,54.708333333333336,1,0.10185648093055666
مكتب الشهر العقاري,الجيزة,139,60.431654676258994,18.705035971223023,-0.4172661870503597,3.759493670886076,75.27338129496403,1,0.03624785419360288
مكتب الشهر العقاري,الدقهلية,196,42.3469387755102,33.16326530612245,-0.09183673469387756,3.8613138686131387,72.54081632653062,1,0.11093389579089763
مكتب الشهر العقاري,الشرقية,120,49.166666666666664,25.0,-0.24166666666666667,3.9125,75.03333333333333,1,0.1120983450281764
مكتب الشهر العقاري,الغربية,23,34.78260869565217,26.08695652173913,-0.08695652173913043,4.0,80.69565217391305,1,0.07625740145628157
مكتب الشهر العقاري,الفيوم,35,17.142857142857142,48.57142857142857,0.3142857142857143,4.321428571428571,57.857142857142854,-1,-0.017502955510628637
مكتب الشهر العقاري,القاهرة,367,53.67847411444142,19.07356948228883,-0.3460490463215259,3.75,106.58855585831063,1,0.012473367942290037
مكتب الشهر العقاري,القليوبية,169,46.74556213017752,25.443786982248522,-0.21301775147928995,3.80188679245283,59.98816568047337,1,0.0888932156383388
مكتب الشهر العقاري,المنوفية,22,36.36363636363637,36.36363636363637,0.0,4.352941176470588,38.36363636363637,1,0.07464124546934603
مكتب الشهر العقاري,المنيا,20,15.0,55.00000000000001,0.4,4.055555555555555,51.5,-1,-0.07580077239452465
مكتب الشهر العقاري,بورسعيد,61,59.01639344262295,22.950819672131146,-0.36065573770491804,3.84375,49.868852459016395,1,0.06561705330132461
مكتب بريد,الإسكندرية,220,33.18181818181819,39.54545454545455,0.06363636363636363,4.237804878048781,86.2909090909091,1,0.11798688328270085
مكتب بريد,الجيزة,123,43.08943089430895,28.455284552845526,-0.14634146341463414,3.9318181818181817,72.0569105691057,1,0.12506665629218422
مكتب بريد,القاهرة,263,36.12167300380228,34.22053231939163,-0.019011406844106463,4.165829145728643,96.56273764258555,1,0.11080059646923662
وحدة مرور,أسيوط,79,21.518987341772153,53.16455696202531,0.31645569620253167,4.420289855072464,61.55696202531646,1,0.006846452344237086
وحدة مرور,الإسكندرية,322,35.714285714285715,43.47826086956522,0.07763975155279502,4.130952380952381,101.01552795031056,1,0.11209000982744977
وحدة مرور,الإسماعيلية,57,54.385964912280706,28.07017543859649,-0.2631578947368421,3.8285714285714287,73.05263157894737,1,0.1091795776948567
وحدة مرور,البحيرة,171,33.91812865497076,45.02923976608187,0.1111111111111111,4.115702479338843,54.15204678362573,1,0.09388493927767255
وحدة مرور,الجيزة,423,39.2434988179669,47.04491725768322,0.07801418439716312,4.330188679245283,159.26241134751774,1,0.006702947091130063
وحدة مرور,الدقهلية,313,56.23003194888179,34.185303514377,-0.22044728434504793,4.0,68.19169329073482,1,0.1036587162123554
وحدة مرور,الشرقية,359,62.116991643454035,27.85515320334262,-0.3426183844011142,3.9641025641025642,82.6908077994429,1,0.07068705712596973
وحدة مرور,الفيوم,61,37.704918032786885,55.73770491803278,0.18032786885245902,3.979591836734694,113.54098360655738,-1,-0.013511448544166305
وحدة مرور,القاهرة,474,41.983122362869196,39.66244725738397,-0.023206751054852322,4.237804878048781,247.82489451476792,-1,-0.06272401765745372
وحدة مرور,القليوبية,228,44.73684210526316,39.473684210526315,-0.05263157894736842,4.141843971631205,83.81140350877193,1,0.130681558928616
وحدة مرور,المنوفية,234,43.162393162393165,44.44444444444444,0.01282051282051282,4.298013245033113,77.73931623931624,1,0.09776906645191513
وحدة مرور,بني سويف,46,41.30434782608695,41.30434782608695,0.0,4.216216216216216,40.93478260869565,1,0.12020344754051587
وحدة مرور,بورسعيد,149,26.845637583892618,54.36241610738255,0.2751677852348993,4.338842975206612,74.77852348993288,1,0.022433620157541245
وحدة مرور,سوهاج,54,72.22222222222221,27.77777777777778,-0.4444444444444444,3.7916666666666665,54.0,-1,-0.01501005384554066
