service_u,governorate,reviews,pct_neg,priority_score
وحدة مرور,الشرقية,359,62.116991643454035,366.0
مكتب السجل المدني,الجيزة,344,61.04651162790697,357.0
وحدة مرور,الدقهلية,313,56.23003194888179,323.0
مكتب الشهر العقاري,القاهرة,367,53.67847411444142,317.0
مكتب السجل المدني,الإسكندرية,498,50.80321285140562,316.0
مكتب الشهر العقاري,الجيزة,139,60.431654676258994,299.0
وحدة مرور,سوهاج,54,72.22222222222221,289.0
مكتب السجل المدني,سوهاج,107,60.747663551401864,284.0
مكتب السجل المدني,قنا,79,62.0253164556962,272.0
مكتب السجل المدني,القليوبية,271,47.97047970479705,269.0
مكتب السجل المدني,الشرقية,253,47.82608695652174,265.0
وحدة مرور,القاهرة,474,41.983122362869196,259.0
مكتب السجل المدني,البحيرة,119,52.10084033613446,249.0
مكتب الشهر العقاري,بورسعيد,61,59.01639344262295,244.0
وحدة مرور,القليوبية,228,44.73684210526316,243.0
مكتب السجل المدني,الفيوم,66,57.57575757575758,242.0
مكتب السجل المدني,المنيا,119,50.42016806722689,241.0
مكتب الشهر العقاري,القليوبية,169,46.74556213017752,240.0
وحدة مرور,الجيزة,423,39.2434988179669,237.0
مكتب الشهر العقاري,الشرقية,120,49.166666666666664,236.0
وحدة مرور,المنوفية,234,43.162393162393165,236.0
مكتب السجل المدني,القاهرة,410,37.80487804878049,228.0
مكتب السجل المدني,الدقهلية,220,42.27272727272727,228.0
مكتب الشهر العقاري,أسوان,55,56.36363636363636,227.0
مكتب الشهر العقاري,الدقهلية,196,42.3469387755102,224.0
وحدة مرور,الإسماعيلية,57,54.385964912280706,221.0
مكتب السجل المدني,أسوان,46,56.52173913043478,218.0
مكتب السجل المدني,بورسعيد,65,50.76923076923077,213.0
مكتب بريد,الجيزة,123,43.08943089430895,208.0
وحدة مرور,الإسكندرية,322,35.714285714285715,206.0
مكتب بريد,القاهرة,263,36.12167300380228,201.0
مكتب الشهر العقاري,الإسكندرية,290,34.82758620689655,198.0
مكتب السجل المدني,المنوفية,101,41.584158415841586,192.0
مكتب السجل المدني,بني سويف,91,40.65934065934066,184.0
مكتب بريد,الإسكندرية,220,33.18181818181819,179.0
وحدة مرور,البحيرة,171,33.91812865497076,175.0
مكتب السجل المدني,الإسماعيلية,91,38.46153846153847,174.0
وحدة مرور,بني سويف,46,41.30434782608695,159.0
مكتب السجل المدني,الغربية,216,29.166666666666668,157.0
وحدة مرور,الفيوم,61,37.704918032786885,156.0
مكتب الشهر العقاري,أسيوط,64,32.8125,137.0
مكتب الشهر العقاري,الإسماعيلية,27,40.74074074074074,136.0
وحدة مرور,بورسعيد,149,26.845637583892618,135.0
مكتب الشهر العقاري,البحيرة,48,31.25,122.0
مكتب الشهر العقاري,المنوفية,22,36.36363636363637,114.0
مكتب الشهر العقاري,الغربية,23,34.78260869565217,111.0
مكتب السجل المدني,أسيوط,86,22.093023255813954,99.0
وحدة مرور,أسيوط,79,21.518987341772153,94.0
مكتب الشهر العقاري,الفيوم,35,17.142857142857142,61.0
مكتب الشهر العقاري,المنيا,20,15.0,46.0
